what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1405023140901
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1405023140901
java.specification.name,sysinfo,,,"Java Platform API Specification",1405023140901
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1405023140901
java.specification.version,sysinfo,,,"1.6",1405023140901
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1405023140901
java.version,sysinfo,,,"1.6.0_23",1405023140901
java.vm.info,sysinfo,,,"mixed mode",1405023140901
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1405023140901
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1405023140901
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1405023140901
java.vm.specification.version,sysinfo,,,"1.0",1405023140901
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1405023140901
java.vm.version,sysinfo,,,"19.0-b09",1405023140901
started,bundle,com.altera.sbtgui.core,12.1.0.177,"com.altera.sbtgui.core",1405023140919
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1405023140990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023143929
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1405023144505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023149127
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405023168502
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405023184059
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1405023184375
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1405023187146
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1405023187150
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1405023187151
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1405023187151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023187199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023187761
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1405023187782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023189160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023189862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405023203321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405023203521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405023203666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1405023219271
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405023225937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405023226132
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1405023226323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405023229650
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405023255971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023257208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023264036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023264246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023267676
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1405023267719
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1405023268363
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1405023270043
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1405023276994
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1405023278016
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1405023288299
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1405023288837
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1405023290578
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1405023290929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405023297151
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405023297606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023298974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023302389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023302415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023305238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023308082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023309691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023312183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023338252
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1405023340746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023346478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023356171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023356235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023365248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023365314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023366487
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1405023367022
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1405023367024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023368624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023539081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023539566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023543384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023545354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023813473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405023822500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405024919668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405024920109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405024920235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405024945276
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1405024945395
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405024945436
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1405024945666
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1405024945667
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1405024945667
stopped,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1405024945667
stopped,bundle,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui",1405024945667
stopped,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1405024945667
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1405024945668
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1405024945668
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1405024945668
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1405024945687
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1405083740463
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1405083740464
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1405083740464
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1405083740465
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1405083740465
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1405083740465
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1405083740466
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1405083740466
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1405083740466
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1405083740497
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1405083740550
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1405083740563
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1405083740563
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1405083740564
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1405083740564
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1405083740564
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1405083740564
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1405083740565
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1405083740565
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1405083740587
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1405083740587
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1405083740588
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1405083740588
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1405083740592
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1405083740592
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1405083740593
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1405083740593
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1405083740594
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1405083740616
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1405083740616
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1405083740668
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1405083740669
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1405083740669
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1405083740669
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1405083740670
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1405083740670
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1405083740670
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1405083740671
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1405083740671
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1405083740671
