what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1405084623192
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1405084623192
java.specification.name,sysinfo,,,"Java Platform API Specification",1405084623192
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1405084623192
java.specification.version,sysinfo,,,"1.6",1405084623192
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1405084623192
java.version,sysinfo,,,"1.6.0_23",1405084623192
java.vm.info,sysinfo,,,"mixed mode",1405084623192
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1405084623192
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1405084623192
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1405084623192
java.vm.specification.version,sysinfo,,,"1.0",1405084623192
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1405084623192
java.vm.version,sysinfo,,,"19.0-b09",1405084623192
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1405084623243
started,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1405084623255
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1405084626722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1405084656592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405084667802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1405084672359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405084675063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1405084675555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1405084700712
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1405084715790
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1405084716149
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1405084719139
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1405084719144
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1405084719144
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1405084719145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405084719183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405084722262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405084727611
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1405084730320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405084731169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405084732990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405084734848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405084735528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405084942292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405084943432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405084944324
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1405084944459
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1405084944502
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1405084944948
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1405084944949
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1405084944950
stopped,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1405084944950
stopped,bundle,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui",1405084944950
stopped,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1405084944950
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1405084944950
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1405084944950
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1405084944950
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1405084944951
