what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400614317317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400614320950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400614331307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400614334601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400614338616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400614355439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400614357213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400614358973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400614417146
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1400614423244
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1400614433839
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1400614436331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400614455509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400614461999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400614474683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1400614484129
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1400614491607
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1400614500858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400614501482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400614507560
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1400614509127
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1400614512039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400614513215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400614847885
activated,view,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1400614848532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400614850750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400617107506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400617108444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400619291695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400619293024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400619503039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400619503494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400619505607
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1400619505632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400619580840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400619597852
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400619598824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400619599915
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1400619600273
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1400619600901
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1400619600901
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.0.177,"com.altera.debug.cdi.gdb.plugin",1400619600901
stopped,bundle,com.altera.sbtgui.launch,12.1.0.177,"com.altera.sbtgui.launch",1400619600901
stopped,bundle,com.altera.sbtgui.ui,12.1.0.177,"com.altera.sbtgui.ui",1400619600901
stopped,bundle,com.altera.sbtgui.project,12.1.0.177,"com.altera.sbtgui.project",1400619600901
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1400619600901
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1400619600901
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1400619600901
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1400619600933
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1400619600933
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1400619600933
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1400619600948
