what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402569204855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402569214857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402570233849
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402570249136
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402570259324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402570261160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402570262060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402570264717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402570359783
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402570360778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402570362950
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402570363296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402570364722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402570365579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402570366386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402570851537
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402570853882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402570887761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402570902308
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402570902766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402570904608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402570905764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402570907128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402570910636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402570911340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402571033819
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402571035288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402571059473
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402571091822
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402571092303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402571093768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402571094531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402571095131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402571248468
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402571251386
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1402571280884
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1402571282470
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1402571283542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402571286127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402571334164
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402571335960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1402571338239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1402571339145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402571340810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1402571341818
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402571355576
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1402571356116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402571359626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402571360870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402571361607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402571512069
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1402571514421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402571518162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1402571519922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1402571523539
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402571530458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1402571532210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1402571533412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1402571535071
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402571536891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402571548267
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1402571549306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1402571560165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1402571562862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1402571574582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1402571611321
