what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114165876
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1401114167923
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1401114169267
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401114172141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114173677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114175178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114175855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114178131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114181049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114184336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114184999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114188715
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1401114191012
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1401114191061
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1401114191128
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401114193935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114196289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114197607
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1401114205563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114207654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114355870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114358502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114524399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114531158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114563041
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1401114564015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401114566073
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1401114566566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114567792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114569928
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1401114571722
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1401114571730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114581693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114582576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401114583259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401115039572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401115040463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401115045286
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1401115046537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1401115081225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401115085195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401115209227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401115231929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401116412967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401116420930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1401116423563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401116425041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1401116441987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401116443023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1401116446619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401116447740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401116451265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401116452245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401116460956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401116468657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401116470424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1401116475930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401116476552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401116480134
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1401116494304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401116495565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1401116498336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401116500306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1401116502026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401116502555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1401116507790
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401116509850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1401116514462
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401116515648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1401116517505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1401116519977
